dataPK,dataNro,dataNro,dataCompleta,diaDaSemana,mesEscrito,ano,anoMes,mesAnoEscrito,nroDiaNaSemana,diaDoMes,diaDoAno,mesDoAno,semanaDoAno
121,20100501,121,May 01 2010,Saturday,May,2010,201005,May2010,7,1,121,5,18
122,20100502,122,May 02 2010,Sunday,May,2010,201005,May2010,1,2,122,5,19
123,20100503,123,May 03 2010,Monday,May,2010,201005,May2010,2,3,123,5,19
124,20100504,124,May 04 2010,Tuesday,May,2010,201005,May2010,3,4,124,5,19
125,20100505,125,May 05 2010,Wednesday,May,2010,201005,May2010,4,5,125,5,19
126,20100506,126,May 06 2010,Thursday,May,2010,201005,May2010,5,6,126,5,19
127,20100507,127,May 07 2010,Friday,May,2010,201005,May2010,6,7,127,5,19
128,20100508,128,May 08 2010,Saturday,May,2010,201005,May2010,7,8,128,5,19
129,20100509,129,May 09 2010,Sunday,May,2010,201005,May2010,1,9,129,5,20
130,20100510,130,May 10 2010,Monday,May,2010,201005,May2010,2,10,130,5,20
131,20100511,131,May 11 2010,Tuesday,May,2010,201005,May2010,3,11,131,5,20
132,20100512,132,May 12 2010,Wednesday,May,2010,201005,May2010,4,12,132,5,20
133,20100513,133,May 13 2010,Thursday,May,2010,201005,May2010,5,13,133,5,20
134,20100514,134,May 14 2010,Friday,May,2010,201005,May2010,6,14,134,5,20
135,20100515,135,May 15 2010,Saturday,May,2010,201005,May2010,7,15,135,5,20
136,20100516,136,May 16 2010,Sunday,May,2010,201005,May2010,1,16,136,5,21
137,20100517,137,May 17 2010,Monday,May,2010,201005,May2010,2,17,137,5,21
138,20100518,138,May 18 2010,Tuesday,May,2010,201005,May2010,3,18,138,5,21
139,20100519,139,May 19 2010,Wednesday,May,2010,201005,May2010,4,19,139,5,21
140,20100520,140,May 20 2010,Thursday,May,2010,201005,May2010,5,20,140,5,21
141,20100521,141,May 21 2010,Friday,May,2010,201005,May2010,6,21,141,5,21
142,20100522,142,May 22 2010,Saturday,May,2010,201005,May2010,7,22,142,5,21
143,20100523,143,May 23 2010,Sunday,May,2010,201005,May2010,1,23,143,5,22
144,20100524,144,May 24 2010,Monday,May,2010,201005,May2010,2,24,144,5,22
145,20100525,145,May 25 2010,Tuesday,May,2010,201005,May2010,3,25,145,5,22
146,20100526,146,May 26 2010,Wednesday,May,2010,201005,May2010,4,26,146,5,22
147,20100527,147,May 27 2010,Thursday,May,2010,201005,May2010,5,27,147,5,22
148,20100528,148,May 28 2010,Friday,May,2010,201005,May2010,6,28,148,5,22
149,20100529,149,May 29 2010,Saturday,May,2010,201005,May2010,7,29,149,5,22
150,20100530,150,May 30 2010,Sunday,May,2010,201005,May2010,1,30,150,5,23
151,20100531,151,May 31 2010,Monday,May,2010,201005,May2010,2,31,151,5,23
152,20100601,152,June 01 2010,Tuesday,June,2010,201006,Jun2010,3,1,152,6,23
153,20100602,153,June 02 2010,Wednesday,June,2010,201006,Jun2010,4,2,153,6,23
154,20100603,154,June 03 2010,Thursday,June,2010,201006,Jun2010,5,3,154,6,23
155,20100604,155,June 04 2010,Friday,June,2010,201006,Jun2010,6,4,155,6,23
156,20100605,156,June 05 2010,Saturday,June,2010,201006,Jun2010,7,5,156,6,23
157,20100606,157,June 06 2010,Sunday,June,2010,201006,Jun2010,1,6,157,6,24
158,20100607,158,June 07 2010,Monday,June,2010,201006,Jun2010,2,7,158,6,24
159,20100608,159,June 08 2010,Tuesday,June,2010,201006,Jun2010,3,8,159,6,24
160,20100609,160,June 09 2010,Wednesday,June,2010,201006,Jun2010,4,9,160,6,24
161,20100610,161,June 10 2010,Thursday,June,2010,201006,Jun2010,5,10,161,6,24
162,20100611,162,June 11 2010,Friday,June,2010,201006,Jun2010,6,11,162,6,24
163,20100612,163,June 12 2010,Saturday,June,2010,201006,Jun2010,7,12,163,6,24
164,20100613,164,June 13 2010,Sunday,June,2010,201006,Jun2010,1,13,164,6,25
165,20100614,165,June 14 2010,Monday,June,2010,201006,Jun2010,2,14,165,6,25
166,20100615,166,June 15 2010,Tuesday,June,2010,201006,Jun2010,3,15,166,6,25
167,20100616,167,June 16 2010,Wednesday,June,2010,201006,Jun2010,4,16,167,6,25
168,20100617,168,June 17 2010,Thursday,June,2010,201006,Jun2010,5,17,168,6,25
169,20100618,169,June 18 2010,Friday,June,2010,201006,Jun2010,6,18,169,6,25
170,20100619,170,June 19 2010,Saturday,June,2010,201006,Jun2010,7,19,170,6,25
171,20100620,171,June 20 2010,Sunday,June,2010,201006,Jun2010,1,20,171,6,26
172,20100621,172,June 21 2010,Monday,June,2010,201006,Jun2010,2,21,172,6,26
173,20100622,173,June 22 2010,Tuesday,June,2010,201006,Jun2010,3,22,173,6,26
174,20100623,174,June 23 2010,Wednesday,June,2010,201006,Jun2010,4,23,174,6,26
175,20100624,175,June 24 2010,Thursday,June,2010,201006,Jun2010,5,24,175,6,26
176,20100625,176,June 25 2010,Friday,June,2010,201006,Jun2010,6,25,176,6,26
177,20100626,177,June 26 2010,Saturday,June,2010,201006,Jun2010,7,26,177,6,26
178,20100627,178,June 27 2010,Sunday,June,2010,201006,Jun2010,1,27,178,6,27
179,20100628,179,June 28 2010,Monday,June,2010,201006,Jun2010,2,28,179,6,27
180,20100629,180,June 29 2010,Tuesday,June,2010,201006,Jun2010,3,29,180,6,27
181,20100630,181,June 30 2010,Wednesday,June,2010,201006,Jun2010,4,30,181,6,27
182,20100701,182,July 01 2010,Thursday,July,2010,201007,Jul2010,5,1,182,7,27
183,20100702,183,July 02 2010,Friday,July,2010,201007,Jul2010,6,2,183,7,27
184,20100703,184,July 03 2010,Saturday,July,2010,201007,Jul2010,7,3,184,7,27
185,20100704,185,July 04 2010,Sunday,July,2010,201007,Jul2010,1,4,185,7,28
186,20100705,186,July 05 2010,Monday,July,2010,201007,Jul2010,2,5,186,7,28
187,20100706,187,July 06 2010,Tuesday,July,2010,201007,Jul2010,3,6,187,7,28
188,20100707,188,July 07 2010,Wednesday,July,2010,201007,Jul2010,4,7,188,7,28
189,20100708,189,July 08 2010,Thursday,July,2010,201007,Jul2010,5,8,189,7,28
190,20100709,190,July 09 2010,Friday,July,2010,201007,Jul2010,6,9,190,7,28
191,20100710,191,July 10 2010,Saturday,July,2010,201007,Jul2010,7,10,191,7,28
192,20100711,192,July 11 2010,Sunday,July,2010,201007,Jul2010,1,11,192,7,29
193,20100712,193,July 12 2010,Monday,July,2010,201007,Jul2010,2,12,193,7,29
194,20100713,194,July 13 2010,Tuesday,July,2010,201007,Jul2010,3,13,194,7,29
195,20100714,195,July 14 2010,Wednesday,July,2010,201007,Jul2010,4,14,195,7,29
196,20100715,196,July 15 2010,Thursday,July,2010,201007,Jul2010,5,15,196,7,29
197,20100716,197,July 16 2010,Friday,July,2010,201007,Jul2010,6,16,197,7,29
198,20100717,198,July 17 2010,Saturday,July,2010,201007,Jul2010,7,17,198,7,29
199,20100718,199,July 18 2010,Sunday,July,2010,201007,Jul2010,1,18,199,7,30
200,20100719,200,July 19 2010,Monday,July,2010,201007,Jul2010,2,19,200,7,30
201,20100720,201,July 20 2010,Tuesday,July,2010,201007,Jul2010,3,20,201,7,30
202,20100721,202,July 21 2010,Wednesday,July,2010,201007,Jul2010,4,21,202,7,30
203,20100722,203,July 22 2010,Thursday,July,2010,201007,Jul2010,5,22,203,7,30
204,20100723,204,July 23 2010,Friday,July,2010,201007,Jul2010,6,23,204,7,30
205,20100724,205,July 24 2010,Saturday,July,2010,201007,Jul2010,7,24,205,7,30
206,20100725,206,July 25 2010,Sunday,July,2010,201007,Jul2010,1,25,206,7,31
207,20100726,207,July 26 2010,Monday,July,2010,201007,Jul2010,2,26,207,7,31
208,20100727,208,July 27 2010,Tuesday,July,2010,201007,Jul2010,3,27,208,7,31
209,20100728,209,July 28 2010,Wednesday,July,2010,201007,Jul2010,4,28,209,7,31
210,20100729,210,July 29 2010,Thursday,July,2010,201007,Jul2010,5,29,210,7,31
211,20100730,211,July 30 2010,Friday,July,2010,201007,Jul2010,6,30,211,7,31
212,20100731,212,July 31 2010,Saturday,July,2010,201007,Jul2010,7,31,212,7,31
213,20100801,213,August 01 2010,Sunday,August,2010,201008,Aug2010,1,1,213,8,32
214,20100802,214,August 02 2010,Monday,August,2010,201008,Aug2010,2,2,214,8,32
215,20100803,215,August 03 2010,Tuesday,August,2010,201008,Aug2010,3,3,215,8,32
216,20100804,216,August 04 2010,Wednesday,August,2010,201008,Aug2010,4,4,216,8,32
217,20100805,217,August 05 2010,Thursday,August,2010,201008,Aug2010,5,5,217,8,32
218,20100806,218,August 06 2010,Friday,August,2010,201008,Aug2010,6,6,218,8,32
219,20100807,219,August 07 2010,Saturday,August,2010,201008,Aug2010,7,7,219,8,32
220,20100808,220,August 08 2010,Sunday,August,2010,201008,Aug2010,1,8,220,8,33
221,20100809,221,August 09 2010,Monday,August,2010,201008,Aug2010,2,9,221,8,33
222,20100810,222,August 10 2010,Tuesday,August,2010,201008,Aug2010,3,10,222,8,33
223,20100811,223,August 11 2010,Wednesday,August,2010,201008,Aug2010,4,11,223,8,33
224,20100812,224,August 12 2010,Thursday,August,2010,201008,Aug2010,5,12,224,8,33
225,20100813,225,August 13 2010,Friday,August,2010,201008,Aug2010,6,13,225,8,33
226,20100814,226,August 14 2010,Saturday,August,2010,201008,Aug2010,7,14,226,8,33
227,20100815,227,August 15 2010,Sunday,August,2010,201008,Aug2010,1,15,227,8,34
228,20100816,228,August 16 2010,Monday,August,2010,201008,Aug2010,2,16,228,8,34
229,20100817,229,August 17 2010,Tuesday,August,2010,201008,Aug2010,3,17,229,8,34
230,20100818,230,August 18 2010,Wednesday,August,2010,201008,Aug2010,4,18,230,8,34
231,20100819,231,August 19 2010,Thursday,August,2010,201008,Aug2010,5,19,231,8,34
232,20100820,232,August 20 2010,Friday,August,2010,201008,Aug2010,6,20,232,8,34
233,20100821,233,August 21 2010,Saturday,August,2010,201008,Aug2010,7,21,233,8,34
234,20100822,234,August 22 2010,Sunday,August,2010,201008,Aug2010,1,22,234,8,35
235,20100823,235,August 23 2010,Monday,August,2010,201008,Aug2010,2,23,235,8,35
236,20100824,236,August 24 2010,Tuesday,August,2010,201008,Aug2010,3,24,236,8,35
237,20100825,237,August 25 2010,Wednesday,August,2010,201008,Aug2010,4,25,237,8,35
238,20100826,238,August 26 2010,Thursday,August,2010,201008,Aug2010,5,26,238,8,35
239,20100827,239,August 27 2010,Friday,August,2010,201008,Aug2010,6,27,239,8,35
240,20100828,240,August 28 2010,Saturday,August,2010,201008,Aug2010,7,28,240,8,35
241,20100829,241,August 29 2010,Sunday,August,2010,201008,Aug2010,1,29,241,8,36
242,20100830,242,August 30 2010,Monday,August,2010,201008,Aug2010,2,30,242,8,36
243,20100831,243,August 31 2010,Tuesday,August,2010,201008,Aug2010,3,31,243,8,36
244,20100901,244,September 01 2010,Wednesday,September,2010,201009,Sep2010,4,1,244,9,36
245,20100902,245,September 02 2010,Thursday,September,2010,201009,Sep2010,5,2,245,9,36
246,20100903,246,September 03 2010,Friday,September,2010,201009,Sep2010,6,3,246,9,36
247,20100904,247,September 04 2010,Saturday,September,2010,201009,Sep2010,7,4,247,9,36
248,20100905,248,September 05 2010,Sunday,September,2010,201009,Sep2010,1,5,248,9,37
249,20100906,249,September 06 2010,Monday,September,2010,201009,Sep2010,2,6,249,9,37
250,20100907,250,September 07 2010,Tuesday,September,2010,201009,Sep2010,3,7,250,9,37
251,20100908,251,September 08 2010,Wednesday,September,2010,201009,Sep2010,4,8,251,9,37
252,20100909,252,September 09 2010,Thursday,September,2010,201009,Sep2010,5,9,252,9,37
253,20100910,253,September 10 2010,Friday,September,2010,201009,Sep2010,6,10,253,9,37
254,20100911,254,September 11 2010,Saturday,September,2010,201009,Sep2010,7,11,254,9,37
255,20100912,255,September 12 2010,Sunday,September,2010,201009,Sep2010,1,12,255,9,38
256,20100913,256,September 13 2010,Monday,September,2010,201009,Sep2010,2,13,256,9,38
257,20100914,257,September 14 2010,Tuesday,September,2010,201009,Sep2010,3,14,257,9,38
258,20100915,258,September 15 2010,Wednesday,September,2010,201009,Sep2010,4,15,258,9,38
259,20100916,259,September 16 2010,Thursday,September,2010,201009,Sep2010,5,16,259,9,38
260,20100917,260,September 17 2010,Friday,September,2010,201009,Sep2010,6,17,260,9,38
261,20100918,261,September 18 2010,Saturday,September,2010,201009,Sep2010,7,18,261,9,38
262,20100919,262,September 19 2010,Sunday,September,2010,201009,Sep2010,1,19,262,9,39
263,20100920,263,September 20 2010,Monday,September,2010,201009,Sep2010,2,20,263,9,39
264,20100921,264,September 21 2010,Tuesday,September,2010,201009,Sep2010,3,21,264,9,39
265,20100922,265,September 22 2010,Wednesday,September,2010,201009,Sep2010,4,22,265,9,39
266,20100923,266,September 23 2010,Thursday,September,2010,201009,Sep2010,5,23,266,9,39
267,20100924,267,September 24 2010,Friday,September,2010,201009,Sep2010,6,24,267,9,39
268,20100925,268,September 25 2010,Saturday,September,2010,201009,Sep2010,7,25,268,9,39
269,20100926,269,September 26 2010,Sunday,September,2010,201009,Sep2010,1,26,269,9,40
270,20100927,270,September 27 2010,Monday,September,2010,201009,Sep2010,2,27,270,9,40
271,20100928,271,September 28 2010,Tuesday,September,2010,201009,Sep2010,3,28,271,9,40
272,20100929,272,September 29 2010,Wednesday,September,2010,201009,Sep2010,4,29,272,9,40
273,20100930,273,September 30 2010,Thursday,September,2010,201009,Sep2010,5,30,273,9,40
274,20101001,274,October 01 2010,Friday,October,2010,201010,Oct2010,6,1,274,10,40
275,20101002,275,October 02 2010,Saturday,October,2010,201010,Oct2010,7,2,275,10,40
276,20101003,276,October 03 2010,Sunday,October,2010,201010,Oct2010,1,3,276,10,41
277,20101004,277,October 04 2010,Monday,October,2010,201010,Oct2010,2,4,277,10,41
278,20101005,278,October 05 2010,Tuesday,October,2010,201010,Oct2010,3,5,278,10,41
279,20101006,279,October 06 2010,Wednesday,October,2010,201010,Oct2010,4,6,279,10,41
280,20101007,280,October 07 2010,Thursday,October,2010,201010,Oct2010,5,7,280,10,41
281,20101008,281,October 08 2010,Friday,October,2010,201010,Oct2010,6,8,281,10,41
282,20101009,282,October 09 2010,Saturday,October,2010,201010,Oct2010,7,9,282,10,41
283,20101010,283,October 10 2010,Sunday,October,2010,201010,Oct2010,1,10,283,10,42
284,20101011,284,October 11 2010,Monday,October,2010,201010,Oct2010,2,11,284,10,42
285,20101012,285,October 12 2010,Tuesday,October,2010,201010,Oct2010,3,12,285,10,42
286,20101013,286,October 13 2010,Wednesday,October,2010,201010,Oct2010,4,13,286,10,42
287,20101014,287,October 14 2010,Thursday,October,2010,201010,Oct2010,5,14,287,10,42
288,20101015,288,October 15 2010,Friday,October,2010,201010,Oct2010,6,15,288,10,42
289,20101016,289,October 16 2010,Saturday,October,2010,201010,Oct2010,7,16,289,10,42
290,20101017,290,October 17 2010,Sunday,October,2010,201010,Oct2010,1,17,290,10,43
291,20101018,291,October 18 2010,Monday,October,2010,201010,Oct2010,2,18,291,10,43
292,20101019,292,October 19 2010,Tuesday,October,2010,201010,Oct2010,3,19,292,10,43
293,20101020,293,October 20 2010,Wednesday,October,2010,201010,Oct2010,4,20,293,10,43
294,20101021,294,October 21 2010,Thursday,October,2010,201010,Oct2010,5,21,294,10,43
295,20101022,295,October 22 2010,Friday,October,2010,201010,Oct2010,6,22,295,10,43
296,20101023,296,October 23 2010,Saturday,October,2010,201010,Oct2010,7,23,296,10,43
297,20101024,297,October 24 2010,Sunday,October,2010,201010,Oct2010,1,24,297,10,44
298,20101025,298,October 25 2010,Monday,October,2010,201010,Oct2010,2,25,298,10,44
299,20101026,299,October 26 2010,Tuesday,October,2010,201010,Oct2010,3,26,299,10,44
300,20101027,300,October 27 2010,Wednesday,October,2010,201010,Oct2010,4,27,300,10,44
301,20101028,301,October 28 2010,Thursday,October,2010,201010,Oct2010,5,28,301,10,44
302,20101029,302,October 29 2010,Friday,October,2010,201010,Oct2010,6,29,302,10,44
303,20101030,303,October 30 2010,Saturday,October,2010,201010,Oct2010,7,30,303,10,44
304,20101031,304,October 31 2010,Sunday,October,2010,201010,Oct2010,1,31,304,10,45
305,20101101,305,November 01 2010,Monday,November,2010,201011,Nov2010,2,1,305,11,45
306,20101102,306,November 02 2010,Tuesday,November,2010,201011,Nov2010,3,2,306,11,45
307,20101103,307,November 03 2010,Wednesday,November,2010,201011,Nov2010,4,3,307,11,45
308,20101104,308,November 04 2010,Thursday,November,2010,201011,Nov2010,5,4,308,11,45
309,20101105,309,November 05 2010,Friday,November,2010,201011,Nov2010,6,5,309,11,45
310,20101106,310,November 06 2010,Saturday,November,2010,201011,Nov2010,7,6,310,11,45
311,20101107,311,November 07 2010,Sunday,November,2010,201011,Nov2010,1,7,311,11,46
312,20101108,312,November 08 2010,Monday,November,2010,201011,Nov2010,2,8,312,11,46
313,20101109,313,November 09 2010,Tuesday,November,2010,201011,Nov2010,3,9,313,11,46
314,20101110,314,November 10 2010,Wednesday,November,2010,201011,Nov2010,4,10,314,11,46
315,20101111,315,November 11 2010,Thursday,November,2010,201011,Nov2010,5,11,315,11,46
