descreveExamePK,dataPK,hospitalPK,idadePK,quantidadeExames
46382,1708,483,31,7
87817,212,425,103,9
13577,1479,201,114,1
91491,528,380,85,10
44954,105,294,13,3
17192,658,550,102,10
95621,3676,164,33,10
55092,356,310,39,5
58177,3065,371,3,8
69417,1407,108,47,9
5491,1340,174,76,5
10240,2084,512,64,5
28891,3473,266,1,4
55320,195,421,56,6
22758,1370,267,114,6
44389,3280,579,116,8
64135,3921,145,21,1
43604,699,606,9,4
45910,2500,412,73,8
134,702,423,41,6
95807,1313,92,86,4
74419,1058,631,25,8
54816,687,168,56,1
98698,980,268,11,10
15114,3717,364,104,2
31537,2181,340,35,3
10821,1002,622,61,4
1717,3407,445,26,4
2282,617,598,49,7
23916,1269,231,67,5
17119,1676,592,15,10
47623,1477,184,117,4
90264,193,431,95,4
40093,3772,616,22,8
92037,540,119,3,1
49596,3287,286,120,8
79652,1735,128,49,6
85894,2662,114,10,9
26062,1629,296,82,6
47284,2094,492,47,9
113,2105,511,62,5
14740,200,163,65,4
27412,1107,290,72,2
71235,2280,83,40,4
31517,1704,102,98,3
92187,1335,515,60,6
24214,965,356,115,5
96531,2155,442,119,1
50816,2512,361,90,5
95731,4010,320,83,1
82638,3288,219,9,10
92549,1768,122,5,4
84867,2751,277,54,7
86783,3809,52,113,5
56255,2542,352,106,7
44499,928,270,104,10
22622,1702,216,14,9
7906,320,21,87,5
29300,3894,436,95,2
62022,2429,365,90,1
21084,487,582,92,3
95943,2714,172,32,5
40490,622,382,90,7
82392,4008,448,15,1
23934,3216,349,93,6
84757,2076,39,100,6
88474,404,530,107,1
67356,86,16,93,9
76396,2466,389,9,1
88858,3404,79,58,3
92462,955,93,57,10
26682,1029,589,77,3
98174,3598,420,55,2
3320,3777,458,119,6
52456,3846,119,110,2
40561,2633,418,82,6
77229,3268,641,31,9
53679,2579,264,71,3
43015,3648,6,37,4
63821,3255,144,28,8
10482,2829,574,87,4
40076,3161,296,88,5
70488,3461,399,22,1
36089,62,475,63,1
27638,1999,72,102,10
78517,3962,4,119,5
80361,2623,481,29,9
28213,3295,508,57,5
10556,2771,384,65,3
14296,2306,489,78,1
9088,954,510,120,10
98699,658,268,73,9
81130,2862,555,106,1
37808,3498,85,2,5
19637,522,429,21,3
46985,1337,405,28,6
14275,3937,558,36,7
31247,600,500,9,3
31290,2340,502,51,3
45075,1272,540,81,8
88722,1793,304,74,10
97698,1491,182,82,8
27841,4005,66,58,3
51121,375,481,86,6
35652,1000,282,25,8
9081,3981,319,66,7
76109,1526,479,80,5
89181,117,175,42,1
59748,3840,622,31,10
44033,2839,248,115,8
16653,2773,343,121,8
74140,2862,21,8,8
57220,2414,400,20,1
77485,3152,221,48,3
60495,1839,525,61,2
14197,742,473,29,2
30539,1058,36,1,4
23766,1699,427,57,7
89353,2183,151,7,1
52519,926,284,120,2
29741,952,342,91,5
65946,1523,296,92,2
22364,2249,378,78,3
72084,83,628,65,10
17720,1371,23,48,8
6163,681,364,16,8
83740,690,317,74,9
10245,2682,51,65,8
33003,560,130,48,4
31432,434,530,63,1
91516,805,95,105,3
75365,3612,348,8,8
90032,384,635,57,5
62393,1487,446,108,6
30563,405,404,94,4
9530,1409,177,42,7
71992,2667,404,52,10
12844,3597,588,57,1
81583,2286,609,13,4
48821,3833,58,79,10
89679,2270,311,51,4
72482,1791,493,39,1
12169,745,223,47,9
30439,3003,514,46,3
93267,2560,182,120,9
78856,2601,138,16,1
57068,3047,3,90,1
54886,522,212,118,9
80676,3629,116,16,10
6729,3665,371,105,6
33740,2247,350,95,2
86810,4016,526,38,5
93033,316,111,25,10
37462,187,598,92,7
24411,3293,260,1,2
41173,1982,372,89,6
29527,2316,372,36,9
78606,746,18,27,5
74997,2422,407,18,8
77245,2644,562,60,9
2436,404,248,7,6
61416,3238,190,60,5
40397,3167,172,3,9
58962,2102,272,23,9
75703,1965,475,117,8
41392,1708,607,32,2
7439,1809,130,117,5
93353,812,340,22,4
50130,286,189,94,2
97865,2957,101,113,2
91386,2160,132,64,5
37195,698,133,32,7
29488,1032,109,75,6
84610,3455,240,95,3
83179,3690,415,14,9
7605,910,513,2,7
7222,1646,643,66,2
85403,103,310,47,10
48100,3962,588,29,1
44694,1739,310,106,5
94171,587,322,69,2
59449,1700,261,9,9
74500,1850,211,45,2
37803,1019,154,76,1
82532,2458,60,74,2
51059,1360,337,101,4
84069,546,472,72,7
96120,2044,434,63,6
63447,788,189,106,5
89560,426,565,18,10
27684,1887,610,101,1
70444,1736,396,41,4
50301,1065,420,63,3
41852,364,531,5,7
75857,563,306,16,10
42977,3795,55,39,3
13061,1935,541,37,9
27547,1445,643,91,3
18176,2572,167,99,2
64467,1094,381,31,8
14218,3800,370,70,5
93218,3274,87,23,8
58532,1569,100,35,5
85837,1260,364,115,10
63836,3612,485,100,10
8646,2414,550,96,7
22282,1457,363,3,2
13280,554,526,51,2
21081,1999,515,89,2
59019,1014,25,25,3
50774,361,426,79,1
37453,2473,514,42,2
18746,3996,505,42,3
94977,2356,512,66,5
89835,437,358,67,8
62613,1551,218,49,4
26310,742,442,100,10
71051,145,192,87,1
3162,118,207,49,2
6411,857,289,18,4
96553,3926,568,116,8
65312,1139,346,92,7
95146,1874,541,105,8
61610,1327,390,29,5
26204,3440,40,26,9
38408,3358,83,102,6
20922,796,114,92,10
93509,2492,584,119,6
49273,3309,181,31,9
52971,4001,329,63,9
33566,936,376,119,10
1919,3481,573,84,7
56699,2876,8,8,6
30610,1404,222,67,1
73856,2558,112,1,3
69328,2233,231,51,1
26656,466,188,43,6
92806,732,2,90,8
5686,1017,100,82,1
60060,2969,422,59,8
2884,843,459,17,9
63815,2016,557,71,9
79916,2432,16,18,3
48295,2719,253,80,7
11443,3796,93,119,8
41546,2100,426,79,7
43330,3234,435,63,2
71361,1499,100,30,6
20053,2534,510,75,1
21304,3687,125,101,1
92024,3692,21,112,2
96661,4008,212,50,1
74489,2535,170,98,8
92199,1239,282,106,7
43783,983,493,110,1
95565,1937,456,9,1
22216,2423,69,78,5
54032,1145,535,82,9
73323,140,181,59,1
55431,85,433,121,5
38051,944,9,119,8
61028,1053,640,61,1
6973,3565,106,66,6
55285,3035,313,92,7
25883,1404,394,118,3
80678,3863,469,31,2
75858,2167,298,46,10
8211,2050,549,71,5
16964,1749,286,38,1
65723,2083,255,87,7
60019,3076,410,37,5
75039,183,600,57,4
43464,1104,440,18,6
73498,835,18,27,9
10914,940,502,117,10
29753,948,65,89,2
20815,3970,335,5,8
18060,1813,209,29,3
25144,2164,531,88,2
16431,1732,644,116,2
51456,225,489,44,3
80207,2966,24,113,7
29542,2305,459,69,5
52016,665,543,45,5
75533,3364,105,62,6
69695,3348,249,83,10
57598,1368,334,5,5
8731,1121,458,108,8
65615,3136,427,5,9
92700,2851,325,25,4
59867,2331,287,79,1
40296,3414,116,59,10
42103,3289,216,120,6
72314,3454,303,104,6
11211,2485,229,50,5
67239,3935,409,101,3
67005,130,572,104,2
64317,3837,66,116,6
57000,238,216,73,7
90720,996,579,64,6
33926,2362,23,115,3
80195,807,564,44,2
32790,3830,402,84,9
86108,1481,115,6,9
75276,2483,181,43,9
70570,3803,126,116,9
14059,803,90,118,6
92128,408,200,79,9
77180,3811,367,52,10
49411,3521,489,85,5
21458,882,334,112,3
22070,3806,129,16,5
58846,256,252,121,5
40998,2924,255,57,6
82243,2173,571,13,2
13870,3636,458,84,1
60463,1879,335,8,5
54092,1851,519,15,5
27455,27,499,50,3
74623,1028,619,39,1
23285,3270,396,6,1
92576,2561,494,99,3
82748,441,355,17,10
36114,2054,188,18,2
85513,1734,257,65,5
26003,3737,351,97,10
80605,2670,640,88,4
68731,1924,537,120,2
2861,3890,558,53,4
50886,636,58,115,1
68849,1473,460,52,2
32800,3821,162,37,8
62044,2843,268,89,9
43794,3522,1,75,6
22770,1938,118,3,9
5726,540,113,43,9
62541,59,386,24,2
45201,1750,188,61,5
68650,1710,420,58,5
54528,1536,520,101,5
7695,1680,54,64,6
16565,3859,276,111,4
24020,2615,563,4,2
75739,1077,369,82,3
69385,2758,640,4,6
30228,580,627,66,5
28472,3799,113,119,4
23900,2676,597,35,4
18796,2290,466,87,9
72029,2161,304,110,3
72023,1289,586,113,1
94067,3934,494,98,1
21814,3087,35,97,8
33495,1530,569,87,9
96581,1842,156,104,10
5063,853,627,85,3
14063,702,46,83,9
70771,1158,263,101,10
15854,1121,88,49,8
38196,520,403,12,7
38194,2046,39,35,4
45707,3739,335,82,1
50922,3560,285,44,10
2606,1208,524,27,4
93205,136,384,57,7
85527,2725,369,42,8
16397,2087,498,99,3
23522,3841,395,56,8
10423,1032,371,4,9
75410,114,280,73,4
3833,528,326,20,4
41941,3579,641,105,9
27384,1973,277,42,3
55880,3954,54,19,6
89841,3873,390,56,6
82318,2851,463,77,1
27352,1594,578,118,7
75034,78,78,107,8
45077,882,334,107,7
27575,963,144,14,6
15922,1212,122,117,5
85262,2572,396,61,5
74092,2120,386,108,6
79113,2635,272,115,10
54840,1994,399,53,8
1414,2067,78,4,3
11130,2959,196,103,8
18592,1912,127,65,4
69859,1729,89,51,4
5521,363,31,49,3
71493,2769,235,40,8
12999,1138,86,97,1
99904,718,93,39,8
83176,2394,144,30,4
91958,3013,453,70,4
50881,516,132,73,8
30508,1128,137,27,3
94362,743,473,96,1
94217,4001,311,7,3
84528,3467,645,36,10
43324,726,593,24,2
35691,953,526,62,4
77123,1814,291,87,3
45029,3803,539,6,1
24362,2806,483,5,2
21026,2102,86,51,4
16054,3181,211,20,1
55445,2932,28,2,3
42517,1214,406,29,7
98594,11,236,23,10
1823,3479,331,59,7
12118,2622,261,56,2
45698,1298,37,61,8
86189,1633,7,25,8
41561,825,209,23,10
94247,3391,636,20,8
62621,3291,522,7,3
58681,2054,403,109,6
29787,2712,359,54,6
71977,1674,380,111,8
58328,2513,332,105,10
48521,530,610,4,8
95768,1524,8,7,10
90714,2250,260,106,5
99921,298,237,17,3
10900,894,90,8,5
6409,2228,319,75,5
29818,2208,138,92,1
11059,2760,611,2,9
34222,3084,34,69,10
29541,606,628,104,8
95631,596,537,42,7
68975,386,489,26,9
16561,94,332,50,5
27109,3425,541,11,5
49583,3239,373,29,9
11510,3263,564,34,4
87752,891,162,29,5
81225,2326,359,9,6
99781,2045,199,95,8
62997,3300,400,76,6
8645,942,198,107,1
21961,2346,442,90,6
62612,2077,236,107,6
30249,3860,573,32,4
86846,225,575,71,8
67407,828,363,7,9
89856,1307,471,114,4
78965,1147,73,3,10
20018,1619,219,82,8
49522,3269,345,51,2
16821,3368,551,8,3
70016,2786,321,27,5
43040,3388,634,111,6
35259,1978,346,54,9
83759,2167,286,43,1
30563,25,127,69,4
65183,3053,300,51,6
52602,1216,624,31,10
31239,2810,262,102,7
36464,2048,396,97,1
30320,3634,169,8,10
52672,1939,194,74,5
26727,427,390,104,7
96234,1859,303,31,2
46814,2478,78,60,7
98040,3441,107,81,3
44094,1094,560,2,7
25320,2620,241,89,10
11279,581,295,118,10
50690,986,582,78,4
83258,3618,236,66,2
28518,374,63,5,8
97472,36,410,86,8
13899,3679,78,48,2
18435,463,410,42,10
77400,3010,66,114,7
44088,1703,305,78,8
67803,1711,486,84,9
6308,676,139,77,9
23990,2796,461,117,4
87892,3827,339,91,9
61706,1929,373,74,5
86226,1860,372,15,1
20504,3850,357,84,4
25509,3857,618,59,7
76655,196,544,94,2
8063,1712,131,21,3
27507,1720,283,86,9
39943,1038,470,24,10
1834,3743,331,53,6
63491,3673,240,2,5
53604,1526,573,80,6
97307,2542,530,65,3
30464,3492,211,55,1
117,391,372,91,4
85351,723,555,34,8
51146,1396,9,101,8
78873,2994,528,7,5
88447,751,319,104,2
54967,3854,153,97,5
60781,567,404,88,4
74368,405,444,46,7
53531,1111,145,66,1
75990,1876,340,99,10
7305,3399,529,100,1
33096,2946,135,102,3
21857,2816,143,91,10
9163,3486,291,1,6
93729,3708,601,87,9
4959,315,337,107,5
40360,2009,67,98,2
13037,2374,119,113,8
70540,3617,279,98,9
18244,3068,103,105,3
85101,3729,61,88,9
79156,3489,602,89,7
5527,3233,250,90,7
54892,27,517,55,8
96942,1978,580,63,4
80642,2673,457,83,2
56077,2278,380,64,1
99684,122,427,16,4
62373,3104,214,1,9
85795,1888,136,87,4
66441,3098,590,111,5
97255,1727,45,34,1
78263,1378,83,98,1
82844,2335,333,2,9
92629,679,356,82,6
98833,284,525,43,5
93892,16,485,51,4
23364,2278,621,22,6
38774,513,239,108,5
52260,3286,150,102,1
13222,1005,342,94,9
3189,3734,266,94,10
91017,835,580,39,10
81298,1407,62,120,10
36214,1735,315,38,5
77501,3061,365,51,9
43763,708,335,117,2
46474,2588,186,70,2
32499,1133,596,115,2
4609,2302,565,19,6
52664,78,152,91,8
13022,817,43,62,8
57799,202,325,7,9
25267,3022,326,9,3
8711,1456,590,1,7
82628,1569,429,108,9
18762,683,158,76,7
19625,1877,289,92,1
49224,304,386,9,10
55163,1573,136,53,6
26612,3321,57,25,10
38312,1064,255,47,7
40396,2376,182,9,10
55698,343,407,102,3
12859,792,433,38,6
15737,3588,354,90,5
25077,1525,34,100,2
39579,1611,414,8,5
68509,2012,143,42,1
55525,1962,292,92,9
99599,2854,214,84,8
74207,263,441,47,10
24693,2637,507,9,4
38186,625,378,49,7
41637,1186,137,72,1
89932,917,410,99,10
28385,2951,24,4,5
88466,3577,104,120,9
25246,2395,306,43,9
69889,334,584,65,2
91768,2767,352,68,10
37749,1921,376,115,8
6277,3994,312,88,3
48431,1055,193,52,10
5381,782,430,67,4
33001,3701,304,7,1
15415,3484,6,17,7
93553,1506,537,38,7
62610,340,259,41,2
74218,3758,91,52,10
17074,3315,446,34,9
56123,3023,219,121,8
44722,2841,289,5,10
68299,3011,59,86,3
56631,1851,210,52,5
53036,1288,218,107,9
93405,3417,304,102,10
95352,3557,444,1,7
18039,2248,154,115,4
52453,2026,385,36,8
97028,3780,166,73,8
95384,2842,42,107,2
4609,2041,8,48,10
77721,724,614,53,7
59606,3371,359,94,6
48141,1323,19,89,3
59948,1893,387,106,8
24475,2760,276,67,10
12483,2202,524,96,5
30657,1452,575,66,2
53305,2082,380,48,2
57024,2272,17,115,8
24827,3946,231,82,7
36320,1628,607,40,9
17579,3623,132,114,4
77973,3076,618,72,6
62428,3711,13,87,5
70379,388,212,15,10
51533,566,29,80,7
38701,985,613,108,4
75731,2147,129,12,7
43599,2141,65,52,9
80514,1351,139,5,2
3,1915,401,103,2
48610,2612,99,76,2
6386,3567,345,8,10
92349,3031,592,66,9
7035,3272,631,80,4
53675,3591,99,39,3
35379,3205,445,106,4
73944,3283,386,65,6
4859,202,53,79,6
81356,2419,131,33,8
68240,2078,359,4,7
25738,444,90,3,3
68587,811,571,84,8
85366,1828,416,97,9
33942,2926,268,83,3
8441,1201,454,49,10
60510,922,80,23,10
51987,1183,446,109,9
71701,932,608,7,8
55221,472,339,56,7
24449,625,67,66,7
75556,2280,456,40,9
1442,199,452,38,10
70176,2364,357,68,1
15017,1754,349,30,5
90270,130,540,108,1
849,3371,520,21,4
99509,250,630,91,1
84071,829,591,87,6
73985,2412,139,65,5
9121,996,223,23,7
24170,462,322,2,10
31406,303,474,1,3
34169,768,168,35,9
97555,192,412,96,7
18051,3971,247,6,7
96884,2500,281,104,2
40089,1638,457,39,2
21900,3001,241,41,7
67482,1478,240,4,3
80643,1797,633,92,10
64698,1815,300,91,6
7530,1082,405,20,4
26996,2764,237,79,2
73305,1757,403,32,6
35135,1603,230,17,6
92037,232,47,119,3
8204,3470,502,4,3
63091,1930,591,103,8
30450,2593,513,93,8
38158,4007,463,114,8
32653,3192,457,46,9
70214,987,582,68,8
92524,2734,201,7,9
10535,3469,452,95,3
88332,2074,194,25,1
36858,3404,551,102,3
78199,484,65,78,7
27386,1033,1,117,5
52517,2046,143,55,7
32597,3539,73,7,5
59220,3693,255,8,10
36952,3713,233,42,5
13825,853,266,55,6
9247,793,338,120,7
31725,1085,619,27,6
57254,863,544,25,1
84187,3215,324,10,6
10728,4008,522,89,4
26252,1481,110,118,10
54206,1766,510,50,6
10679,1814,305,10,8
75420,3911,159,114,3
3276,1409,537,20,4
43865,3297,82,36,8
58264,111,223,16,5
96402,1133,291,81,6
13475,3095,328,79,4
34297,3332,626,106,7
23838,2505,459,29,4
95393,3416,348,30,9
16257,2561,224,2,7
4398,637,127,74,1
18890,3857,635,99,2
95674,2129,442,20,8
18990,40,51,115,3
24502,767,510,7,4
36606,3538,349,39,7
66082,2255,95,90,6
79677,729,28,46,4
68868,1104,166,3,2
39833,2210,177,17,10
21400,64,103,109,2
41483,3286,399,37,10
38564,1356,86,12,7
95309,3621,300,53,1
69997,3533,15,100,3
20727,2691,356,10,2
39632,154,440,113,8
35450,1261,315,15,1
90789,2045,156,39,4
90858,1799,465,66,8
46485,2925,9,30,6
51340,2302,140,70,9
15006,3970,209,102,3
21026,2038,351,47,9
82203,1490,392,74,6
58581,1269,209,4,1
67465,257,184,76,3
95093,881,44,82,1
66658,1293,425,60,10
1640,1352,25,5,2
85847,854,315,29,3
97430,2583,387,15,4
97496,392,364,74,9
683,3774,619,14,9
69115,1294,45,26,9
11156,251,608,105,4
19607,3477,621,53,8
25455,3708,405,13,3
3103,3858,227,30,9
84580,3793,577,114,1
9797,3497,529,51,6
64722,1709,105,117,3
96671,3320,324,61,3
29351,1067,187,45,1
43670,977,526,111,2
22006,3441,154,70,7
49187,860,51,55,2
97502,3139,449,121,4
98609,40,391,28,7
35771,1375,365,56,9
98935,2518,437,104,10
3052,2268,328,87,1
14743,2702,178,116,9
62267,549,27,4,6
80352,149,580,21,1
40631,3179,41,22,7
6113,2957,595,36,3
34155,837,162,27,2
55432,2208,424,51,10
11473,2673,23,8,4
40967,1582,256,39,4
90608,2882,34,111,10
6384,2646,7,111,2
32786,1243,606,33,9
8007,734,161,44,10
1427,2976,226,94,4
6687,2161,516,30,6
99933,466,430,41,10
38711,3572,10,34,3
45386,2013,577,43,3
20749,1771,458,82,4
41562,445,112,66,5
95089,2014,507,79,6
91028,1752,557,109,2
26806,3139,541,71,3
80761,36,532,113,10
681,196,384,82,10
23737,651,272,41,3
52996,276,303,25,8
52228,2,217,49,1
86247,2717,410,100,3
58647,2291,300,8,3
82433,352,445,29,10
1677,2338,581,63,6
78352,818,305,111,9
86629,2429,559,77,9
2551,3307,528,68,3
97130,3232,66,79,10
98240,3085,256,33,1
82684,1418,18,65,8
2952,3675,501,71,4
43554,1451,398,59,9
69795,1711,56,36,2
19449,2148,156,92,9
93502,2239,154,26,4
90565,2034,97,41,8
74330,1846,242,76,2
5474,3303,643,23,5
71367,3094,59,111,8
23346,1574,432,106,6
65865,1197,560,88,5
1148,225,582,3,10
2551,442,139,66,8
52639,2936,611,90,5
38559,247,409,9,6
96793,3237,416,99,4
16718,864,391,10,2
13838,1894,97,116,7
36195,3510,70,61,1
66449,3826,393,102,10
93321,3233,300,55,6
52746,2714,76,32,8
61325,1980,58,9,3
73690,722,350,114,4
48300,2145,384,42,2
68402,2064,109,12,8
81217,3764,599,8,6
84822,949,474,116,8
53848,264,10,55,8
21044,2150,359,17,6
30187,3235,118,17,1
16717,533,205,62,1
39543,29,256,101,10
47670,1728,435,23,1
700,2556,263,85,8
54929,3380,329,76,4
77120,2228,194,44,7
40520,387,389,107,1
55943,210,174,25,2
83414,2515,379,108,2
88389,3718,182,41,10
10312,1198,597,22,3
5842,674,139,114,6
95154,2086,303,10,5
55055,1068,551,4,6
41538,1406,409,110,3
39806,945,480,98,8
42014,3820,218,79,4
37805,1022,221,80,9
77222,2218,566,60,3
29218,466,553,22,9
6465,3546,16,38,9
99277,1891,481,64,5
8029,3263,21,28,8
44147,1949,275,10,6
24216,2662,236,36,6
54691,618,405,63,5
51844,136,250,21,4
44984,1889,54,22,1
23716,1697,473,67,5
52506,158,214,37,6
78689,2786,544,42,7
24858,3126,379,115,4
2523,1120,378,43,5
76240,212,445,81,9
48004,1380,379,54,8
52958,3063,156,94,2
89518,1229,332,17,9
93320,3249,73,105,10
8639,1478,490,76,3
37805,121,429,82,10
29500,2015,628,42,10
5294,2552,98,15,5
74831,2763,144,32,2
76105,716,44,17,3
49447,483,248,105,4
84933,747,435,64,7
66721,1983,393,52,10
20284,2685,592,46,10
12102,2469,387,70,4
91259,2053,89,120,1
86364,3626,161,91,9
27031,2111,30,54,8
17366,2185,462,94,2
48761,874,80,67,1
87372,2243,113,22,3
53091,200,64,7,3
30928,2298,255,101,8
26345,2562,310,64,9
3684,1030,353,109,4
540,3064,73,113,4
38396,487,248,68,7
41534,1050,370,71,5
34544,368,220,119,8
74301,3134,332,82,7
10164,992,83,70,9
97527,772,448,39,4
95479,1556,511,81,7
84639,2650,627,64,4
49675,3161,129,12,10
18899,4003,342,33,7
76825,804,127,64,9
71862,1549,458,72,9
5245,2549,266,30,2
91560,1,220,17,9
17437,3702,329,22,8
7767,3354,306,70,3
32051,3671,148,30,7
5382,292,590,73,7
82438,3232,86,65,10
82848,2191,28,34,2
16112,424,486,52,1
65953,437,225,121,5
88556,201,593,40,8
82687,3646,511,38,10
59693,3250,450,58,4
55343,1361,280,2,3
16105,3960,362,76,1
91374,3632,45,19,6
24906,1608,129,43,8
12067,26,240,27,8
10478,3628,443,17,6
26939,3648,408,97,5
18189,1082,641,11,3
41367,1316,305,81,7
82493,2095,171,66,7
39863,1119,495,119,4
93969,778,605,103,6
62793,676,72,7,5
69304,3189,131,92,7
71635,3909,91,5,1
62915,516,85,90,5
18763,706,24,92,2
92787,913,287,70,9
3604,3045,468,104,8
32459,835,150,68,10
65368,2055,125,31,10
50956,2227,461,96,9
33040,1440,114,117,2
14939,790,341,58,3
42542,1610,577,13,7
